gene	Sample_ID	compendium_version	rollup_cohort	drugs
OGN	TH34_2411_S01	v10	pancancer	
OLFML2B	TH34_2411_S01	v10	pancancer	
OMD	TH34_2411_S01	v10	pancancer	
OS9	TH34_2411_S01	v10	pancancer	
OSR1	TH34_2411_S01	v10	pancancer	
P3H1	TH34_2411_S01	v10	pancancer	
P4HA3	TH34_2411_S01	v10	pancancer	
PCOLCE	TH34_2411_S01	v10	pancancer	
PLA2G5	TH34_2411_S01	v10	pancancer	
PLAC9	TH34_2411_S01	v10	pancancer	
PTH1R	TH34_2411_S01	v10	pancancer	
RASL11B	TH34_2411_S01	v10	pancancer	
RCN3	TH34_2411_S01	v10	pancancer	
RGS3	TH34_2411_S01	v10	pancancer	
RNA5SP216	TH34_2411_S01	v10	pancancer	
RP1-20B21.4	TH34_2411_S01	v10	pancancer	
RP11-343H5.4	TH34_2411_S01	v10	pancancer	
RP11-571M6.17	TH34_2411_S01	v10	pancancer	
RP11-571M6.18	TH34_2411_S01	v10	pancancer	
RP11-588H23.3	TH34_2411_S01	v10	pancancer	
RP11-620J15.3	TH34_2411_S01	v10	pancancer	
RP11-632C17__A.1	TH34_2411_S01	v10	pancancer	
RP11-785D18.3	TH34_2411_S01	v10	pancancer	
RP11-802E16.3	TH34_2411_S01	v10	pancancer	
RP3-508I15.18	TH34_2411_S01	v10	pancancer	
RP4-765C7.2	TH34_2411_S01	v10	pancancer	
RUNX2	TH34_2411_S01	v10	pancancer	
SIX2	TH34_2411_S01	v10	pancancer	
SLC26A10	TH34_2411_S01	v10	pancancer	
SLC29A1	TH34_2411_S01	v10	pancancer	
SLC39A13	TH34_2411_S01	v10	pancancer	
SNAI1	TH34_2411_S01	v10	pancancer	
SNHG25	TH34_2411_S01	v10	pancancer	
SP7	TH34_2411_S01	v10	pancancer	
SSC5D	TH34_2411_S01	v10	pancancer	
STAB1	TH34_2411_S01	v10	pancancer	
STAC3	TH34_2411_S01	v10	pancancer	
TCAP	TH34_2411_S01	v10	pancancer	
THBS4	TH34_2411_S01	v10	pancancer	
TNFRSF6B	TH34_2411_S01	v10	pancancer	
TNNC1	TH34_2411_S01	v10	pancancer	
TNNC2	TH34_2411_S01	v10	pancancer	
TNNI2	TH34_2411_S01	v10	pancancer	
TNNT3	TH34_2411_S01	v10	pancancer	
TPRG1	TH34_2411_S01	v10	pancancer	
TSFM	TH34_2411_S01	v10	pancancer	
TSPAN31	TH34_2411_S01	v10	pancancer	
WISP2	TH34_2411_S01	v10	pancancer	
XRCC6BP1	TH34_2411_S01	v10	pancancer	
YEATS4	TH34_2411_S01	v10	pancancer	
ABCC8	TH34_2666_S01	v11	pancancer	
AC005606.15	TH34_2666_S01	v11	pancancer	
AC006116.20	TH34_2666_S01	v11	pancancer	
AC093642.3	TH34_2666_S01	v11	pancancer	
AC104451.2	TH34_2666_S01	v11	pancancer	
AC116614.1	TH34_2666_S01	v11	pancancer	
AC132217.4	TH34_2666_S01	v11	pancancer	
ACSF2	TH34_2666_S01	v11	pancancer	
ADGRB1	TH34_2666_S01	v11	pancancer	
AHRR	TH34_2666_S01	v11	pancancer	
ALX1	TH34_2666_S01	v11	pancancer	
AMDHD1	TH34_2666_S01	v11	pancancer	
AP000580.1	TH34_2666_S01	v11	pancancer	
AP001059.6	TH34_2666_S01	v11	pancancer	
ARVCF	TH34_2666_S01	v11	pancancer	
BCO2	TH34_2666_S01	v11	pancancer	
BCRP3	TH34_2666_S01	v11	pancancer	
BCYRN1	TH34_2666_S01	v11	pancancer	
BPI	TH34_2666_S01	v11	pancancer	
CAMK1G	TH34_2666_S01	v11	pancancer	
CBLN2	TH34_2666_S01	v11	pancancer	
CCDC180	TH34_2666_S01	v11	pancancer	
CD99P1	TH34_2666_S01	v11	pancancer	
CDH4	TH34_2666_S01	v11	pancancer	
CHD5	TH34_2666_S01	v11	pancancer	
CHTF18	TH34_2666_S01	v11	pancancer	
CNGB1	TH34_2666_S01	v11	pancancer	
COL9A1	TH34_2666_S01	v11	pancancer	
COL9A3	TH34_2666_S01	v11	pancancer	
CRH	TH34_2666_S01	v11	pancancer	
CSAG1	TH34_2666_S01	v11	pancancer	
CSAG3	TH34_2666_S01	v11	pancancer	
CTB-36O1.7	TH34_2666_S01	v11	pancancer	
CTD-2545M3.2	TH34_2666_S01	v11	pancancer	
CTD-2545M3.8	TH34_2666_S01	v11	pancancer	
CYP2D7	TH34_2666_S01	v11	pancancer	
DIO3	TH34_2666_S01	v11	pancancer	
DIO3OS	TH34_2666_S01	v11	pancancer	
DLK1	TH34_2666_S01	v11	pancancer	
DNAAF1	TH34_2666_S01	v11	pancancer	
DOK7	TH34_2666_S01	v11	pancancer	
EBF2	TH34_2666_S01	v11	pancancer	
EP400	TH34_2666_S01	v11	pancancer	
ERVH48-1	TH34_2666_S01	v11	pancancer	
FABP7	TH34_2666_S01	v11	pancancer	
FAR2P1	TH34_2666_S01	v11	pancancer	
FBN2	TH34_2666_S01	v11	pancancer	
FLRT2	TH34_2666_S01	v11	pancancer	
FLT4	TH34_2666_S01	v11	pancancer	MGCD265,MGCD-265,SORAFENIB,MOTESANIB,ABT-869,ENMD 2076,ORANTINIB,Vatalanib,LENVATINIB,TESEVATINIB,Axitinib,SUNITINIB,TELATINIB,FORETINIB,ENMD-2076,Regorafenib,XL647,LUCITANIB,AXITINIB,X-82,Sorafenib,PAZOPANIB,Nintedanib,VATALANIB,VANDETANIB,TIVOZANIB,Sunitinib,LINIFANIB,SORAFENIB TOSYLATE,1058137-23-7,REGORAFENIB,NINTEDANIB,Pazopanib
FMN2	TH34_2666_S01	v11	pancancer	
FOXB1	TH34_2666_S01	v11	pancancer	
FOXC2	TH34_2666_S01	v11	pancancer	
FSD1	TH34_2666_S01	v11	pancancer	
GGN	TH34_2666_S01	v11	pancancer	
GLIS3-AS1	TH34_2666_S01	v11	pancancer	
GNB3	TH34_2666_S01	v11	pancancer	
GNRH1	TH34_2666_S01	v11	pancancer	
GTSF1	TH34_2666_S01	v11	pancancer	
GYG2P1	TH34_2666_S01	v11	pancancer	
HIF3A	TH34_2666_S01	v11	pancancer	
HSPA12B	TH34_2666_S01	v11	pancancer	
IGLON5	TH34_2666_S01	v11	pancancer	
KB-1572G7.2	TH34_2666_S01	v11	pancancer	
LA16c-361A3.3	TH34_2666_S01	v11	pancancer	
LDLRAD2	TH34_2666_S01	v11	pancancer	
LINC00473	TH34_2666_S01	v11	pancancer	
LINC01150	TH34_2666_S01	v11	pancancer	
LINC01393	TH34_2666_S01	v11	pancancer	
MDM2	TH34_2666_S01	v11	pancancer	
MEG3	TH34_2666_S01	v11	pancancer	
MEG9	TH34_2666_S01	v11	pancancer	
MEIOB	TH34_2666_S01	v11	pancancer	
MT-ND4	TH34_2666_S01	v11	pancancer	
MT-ND4L	TH34_2666_S01	v11	pancancer	
MTRNR2L12	TH34_2666_S01	v11	pancancer	
MUC2	TH34_2666_S01	v11	pancancer	
MUC5AC	TH34_2666_S01	v11	pancancer	
MUC6	TH34_2666_S01	v11	pancancer	
NPIPA1	TH34_2666_S01	v11	pancancer	
NPIPB3	TH34_2666_S01	v11	pancancer	
NPIPP1	TH34_2666_S01	v11	pancancer	
NPTX2	TH34_2666_S01	v11	pancancer	
OBP2A	TH34_2666_S01	v11	pancancer	
PAEP	TH34_2666_S01	v11	pancancer	
PIGG	TH34_2666_S01	v11	pancancer	
POLE	TH34_2666_S01	v11	pancancer	PEMBROLIZUMAB
PTPDC1	TH34_2666_S01	v11	pancancer	
RALYL	TH34_2666_S01	v11	pancancer	
RBPJ	TH34_2666_S01	v11	pancancer	
RGS20	TH34_2666_S01	v11	pancancer	
RP1-20B21.4	TH34_2666_S01	v11	pancancer	
RP11-110I1.6	TH34_2666_S01	v11	pancancer	
RP11-159D12.5	TH34_2666_S01	v11	pancancer	
RP11-20I20.4	TH34_2666_S01	v11	pancancer	
RP11-231C14.4	TH34_2666_S01	v11	pancancer	
RP11-244F12.2	TH34_2666_S01	v11	pancancer	
RP11-307C12.12	TH34_2666_S01	v11	pancancer	
RP11-323N12.5	TH34_2666_S01	v11	pancancer	
RP11-380M21.2	TH34_2666_S01	v11	pancancer	
RP11-390P2.4	TH34_2666_S01	v11	pancancer	
RP11-473E2.4	TH34_2666_S01	v11	pancancer	
RP11-478C6.4	TH34_2666_S01	v11	pancancer	
RP11-498C9.2	TH34_2666_S01	v11	pancancer	
RP11-498P14.3	TH34_2666_S01	v11	pancancer	
RP11-580I16.2	TH34_2666_S01	v11	pancancer	
RP11-627K11.6	TH34_2666_S01	v11	pancancer	
RP11-676J15.1	TH34_2666_S01	v11	pancancer	
RP11-82L18.2	TH34_2666_S01	v11	pancancer	
RP11-977G19.5	TH34_2666_S01	v11	pancancer	
RP3-508I15.18	TH34_2666_S01	v11	pancancer	
RP5-1056L3.3	TH34_2666_S01	v11	pancancer	
RP5-857K21.11	TH34_2666_S01	v11	pancancer	
RP5-857K21.7	TH34_2666_S01	v11	pancancer	
SCNN1B	TH34_2666_S01	v11	pancancer	
SFTPA1	TH34_2666_S01	v11	pancancer	
SFTPA2	TH34_2666_S01	v11	pancancer	
SFTPB	TH34_2666_S01	v11	pancancer	
SFTPC	TH34_2666_S01	v11	pancancer	
SHC3	TH34_2666_S01	v11	pancancer	
SHISA3	TH34_2666_S01	v11	pancancer	
SLC13A4	TH34_2666_S01	v11	pancancer	
SLC1A6	TH34_2666_S01	v11	pancancer	
SNHG23	TH34_2666_S01	v11	pancancer	
SNHG25	TH34_2666_S01	v11	pancancer	
SPRED3	TH34_2666_S01	v11	pancancer	
SPRR2A	TH34_2666_S01	v11	pancancer	
SPTBN4	TH34_2666_S01	v11	pancancer	
SUGP2	TH34_2666_S01	v11	pancancer	
SULT1E1	TH34_2666_S01	v11	pancancer	
SULT4A1	TH34_2666_S01	v11	pancancer	
SYCE1L	TH34_2666_S01	v11	pancancer	
SYCP2L	TH34_2666_S01	v11	pancancer	
T	TH34_2666_S01	v11	pancancer	
TMEM132C	TH34_2666_S01	v11	pancancer	
TNNI3	TH34_2666_S01	v11	pancancer	
TNNT3	TH34_2666_S01	v11	pancancer	
VCAN-AS1	TH34_2666_S01	v11	pancancer	
VGF	TH34_2666_S01	v11	pancancer	
WNK4	TH34_2666_S01	v11	pancancer	
WT1	TH34_2666_S01	v11	pancancer	CYTARABINE,DAUNORUBICIN
WT1-AS	TH34_2666_S01	v11	pancancer	
WT1-AS_7	TH34_2666_S01	v11	pancancer	
ZFHX2	TH34_2666_S01	v11	pancancer	
CIC	TH34_1150_S02	v8	pandisease	SELUMETINIB (AZD6244),VEMURAFENIB,TRAMETINIB
ANKRD10	TH34_1150_S02	v8	pandisease	
EOGT	TH34_1150_S02	v8	pandisease	
SFTPB	TH34_1150_S02	v8	pandisease	
SFTPC	TH34_1150_S02	v8	pandisease	
TTC21B	TH34_1150_S02	v8	pandisease	
CDKN1B	TH34_1150_S02	v8	pandisease	LAPATINIB
PCSK1	TH34_1150_S02	v8	pandisease	
AHI1	TH34_1150_S02	v8	pandisease	
PLEKHH2	TH34_1150_S02	v8	pandisease	
MOXD1	TH34_1150_S02	v8	pandisease	
CTD-2270P14.1	TH34_1150_S02	v8	pandisease	
GREM1	TH34_1150_S02	v8	pandisease	
ADAM33	TH34_1150_S02	v8	pandisease	
TNRC6A	TH34_1150_S02	v8	pandisease	
RP11-156P1.3	TH34_1150_S02	v8	pandisease	
ZNF300P1	TH34_1150_S02	v8	pandisease	
DUSP22	TH34_1150_S02	v8	pandisease	
ARL17A	TH34_1150_S02	v8	pandisease	
PAXBP1	TH34_1150_S02	v8	pandisease	
RSAD1	TH34_1150_S02	v8	pandisease	
EPCAM	TH34_1150_S02	v8	pandisease	
SNHG14	TH34_1150_S02	v8	pandisease	
KANSL1	TH34_1150_S02	v8	pandisease	
ELF2	TH34_1150_S02	v8	pandisease	
KIAA0907	TH34_1150_S02	v8	pandisease	
SLC6A15	TH34_1150_S02	v8	pandisease	
PPFIA1	TH34_1150_S02	v8	pandisease	
TBKBP1	TH34_1150_S02	v8	pandisease	
DYNLL2	TH34_1150_S02	v8	pandisease	
FTSJ3	TH34_1150_S02	v8	pandisease	
BRPF3	TH34_1150_S02	v8	pandisease	
GOLGA8N	TH34_1150_S02	v8	pandisease	
SFTPA2	TH34_1150_S02	v8	pandisease	
WSB1	TH34_1150_S02	v8	pandisease	
EFS	TH34_1150_S02	v8	pandisease	
SFTPA1	TH34_1150_S02	v8	pandisease	
HHIP-AS1	TH34_1150_S02	v8	pandisease	
RERGL	TH34_1150_S02	v8	pandisease	
DYNC2LI1	TH34_1150_S02	v8	pandisease	
DMTF1	TH34_1150_S02	v8	pandisease	
LUC7L3	TH34_1150_S02	v8	pandisease	
CH17-232I21.1	TH34_1150_S02	v8	pandisease	
LTBP4	TH34_1150_S02	v8	pandisease	
ZBED5	TH34_1150_S02	v8	pandisease	
SCN1A	TH34_1150_S02	v8	pandisease	
Y_RNA	TH34_1150_S02	v8	pandisease	
STAG3L3	TH34_1150_S02	v8	pandisease	
DAAM2	TH34_1150_S02	v8	pandisease	
AL132780.1	TH34_1150_S02	v8	pandisease	
BZRAP1	TH34_1150_S02	v8	pandisease	
GREB1	TH34_1150_S02	v8	pandisease	
STAG3L1	TH34_1150_S02	v8	pandisease	
TLK2	TH34_1150_S02	v8	pandisease	
STAG3L2	TH34_1150_S02	v8	pandisease	
HIST1H2BG	TH34_1150_S02	v8	pandisease	
RP11-575L7.8	TH34_1150_S02	v8	pandisease	
BTG3	TH34_1150_S02	v8	pandisease	
RNA5SP187	TH34_1150_S02	v8	pandisease	
AHNAK2	TH34_1150_S02	v8	pandisease	
NAPSA	TH34_1150_S02	v8	pandisease	
ZBTB43	TH34_1150_S02	v8	pandisease	
CD46	TH34_1150_S02	v8	pandisease	
RERG	TH34_1150_S02	v8	pandisease	
SLPI	TH34_1150_S02	v8	pandisease	
EXOC6B	TH34_1150_S02	v8	pandisease	
SNRPGP4	TH34_1150_S02	v8	pandisease	
USPL1	TH34_1150_S02	v8	pandisease	
PTPRR	TH34_1150_S02	v8	pandisease	
MIR124-2HG	TH34_1150_S02	v8	pandisease	
ACAD9	TH34_1150_S02	v8	pandisease	
DDX42	TH34_1150_S02	v8	pandisease	
FPGS	TH34_1150_S02	v8	pandisease	
IGLV3-25	TH34_1150_S02	v8	pandisease	
RBBP6	TH34_1150_S02	v8	pandisease	
MAPK13	TH34_1150_S02	v8	pandisease	
PLEKHA7	TH34_1150_S02	v8	pandisease	
RHBDD3	TH34_1150_S02	v8	pandisease	
STON1	TH34_1150_S02	v8	pandisease	
LRCH3	TH34_1150_S02	v8	pandisease	
CDK9	TH34_1150_S02	v8	pandisease	SCH 727965,ALVOCIDIB,SELICICLIB,SCH727965,Roniciclib,Flavopiridol,DINACICLIB,SNS-032,BMS-387032,BAY1000394
TCTEX1D1	TH34_1150_S02	v8	pandisease	
BCL6	TH34_1150_S02	v8	pandisease	
SCN3A	TH34_1150_S02	v8	pandisease	
TMEM164	TH34_1150_S02	v8	pandisease	
DUOXA2	TH34_1162_S01	v7	pandisease	
MAN2B1	TH34_1162_S01	v7	pandisease	
PARL	TH34_1162_S01	v7	pandisease	
CD37	TH34_1162_S01	v7	pandisease	
LAPTM5	TH34_1162_S01	v7	pandisease	
APOC4-APOC2	TH34_1162_S01	v7	pandisease	
IL24	TH34_1162_S01	v7	pandisease	
APOC1	TH34_1162_S01	v7	pandisease	
MS4A7	TH34_1162_S01	v7	pandisease	
PLIN2	TH34_1162_S01	v7	pandisease	
MSR1	TH34_1162_S01	v7	pandisease	
TYROBP	TH34_1162_S01	v7	pandisease	
PPT1	TH34_1162_S01	v7	pandisease	
MPP1	TH34_1162_S01	v7	pandisease	
GNG10	TH34_1162_S01	v7	pandisease	
RNPEPL1	TH34_1162_S01	v7	pandisease	
P3H1	TH34_1162_S01	v7	pandisease	
GPR108	TH34_1162_S01	v7	pandisease	
LIPA	TH34_1162_S01	v7	pandisease	
CTSL	TH34_1162_S01	v7	pandisease	
RNASE6	TH34_1162_S01	v7	pandisease	
CTSA	TH34_1162_S01	v7	pandisease	
CTSB	TH34_1162_S01	v7	pandisease	
FPR3	TH34_1162_S01	v7	pandisease	
CDH24	TH34_1162_S01	v7	pandisease	
IFI30	TH34_1162_S01	v7	pandisease	
CTSZ	TH34_1162_S01	v7	pandisease	
CSF3R	TH34_1162_S01	v7	pandisease	
SLC15A3	TH34_1162_S01	v7	pandisease	
MS4A4A	TH34_1162_S01	v7	pandisease	
NPL	TH34_1162_S01	v7	pandisease	
LST1	TH34_1162_S01	v7	pandisease	
PLD3	TH34_1162_S01	v7	pandisease	
GM2A	TH34_1162_S01	v7	pandisease	
TRAPPC5	TH34_1162_S01	v7	pandisease	
ARFRP1	TH34_1162_S01	v7	pandisease	
RP11-671J11.5	TH34_1162_S01	v7	pandisease	
IL10RA	TH34_1162_S01	v7	pandisease	
SLC7A7	TH34_1162_S01	v7	pandisease	
DUOX2	TH34_1162_S01	v7	pandisease	
GLUL	TH34_1162_S01	v7	pandisease	
LAIR1	TH34_1162_S01	v7	pandisease	
HCST	TH34_1162_S01	v7	pandisease	
AP2S1	TH34_1162_S01	v7	pandisease	
LILRB4	TH34_1162_S01	v7	pandisease	
UACA	TH34_1162_S01	v7	pandisease	
RNF130	TH34_1162_S01	v7	pandisease	
NPC2	TH34_1162_S01	v7	pandisease	
CEACAM6	TH34_1162_S01	v7	pandisease	
FAM118A	TH34_1162_S01	v7	pandisease	
MIER2	TH34_1162_S01	v7	pandisease	
GRN	TH34_1162_S01	v7	pandisease	
BLVRB	TH34_1162_S01	v7	pandisease	
RHOG	TH34_1162_S01	v7	pandisease	
FTL	TH34_1162_S01	v7	pandisease	
ITGAX	TH34_1162_S01	v7	pandisease	
PLA2G15	TH34_1162_S01	v7	pandisease	
LGMN	TH34_1162_S01	v7	pandisease	
MGAT1	TH34_1162_S01	v7	pandisease	
PSAP	TH34_1162_S01	v7	pandisease	
TNFAIP2	TH34_1162_S01	v7	pandisease	
GPX1	TH34_1162_S01	v7	pandisease	
NRD1	TH34_1162_S01	v7	pandisease	
CD14	TH34_1162_S01	v7	pandisease	
RNASE1	TH34_1162_S01	v7	pandisease	
TCIRG1	TH34_1162_S01	v7	pandisease	
ACP5	TH34_1162_S01	v7	pandisease	
CD53	TH34_1162_S01	v7	pandisease	
FABP4	TH34_1162_S01	v7	pandisease	
ARRB2	TH34_1162_S01	v7	pandisease	
TREM2	TH34_1162_S01	v7	pandisease	
ATP5E	TH34_1162_S01	v7	pandisease	
FCER1G	TH34_1162_S01	v7	pandisease	
SPI1	TH34_1162_S01	v7	pandisease	
CYP1B1	TH34_1162_S01	v7	pandisease	
CEACAM21	TH34_1162_S01	v7	pandisease	
GMFG	TH34_1162_S01	v7	pandisease	
CTC-575D19.1	TH34_1162_S01	v7	pandisease	
CSF1R	TH34_1162_S01	v7	pandisease	PLX3397,GW-2580,PEXIDARTINIB,Imatinib,PLX-3397,IMATINIB
GPNMB	TH34_1162_S01	v7	pandisease	
FANCA	TH34_1162_S01	v7	pandisease	
SIPA1	TH34_1162_S01	v7	pandisease	
C2	TH34_1162_S01	v7	pandisease	
AC005943.6	TH34_1162_S01	v7	pandisease	
CECR1	TH34_1162_S01	v7	pandisease	
CSTB	TH34_1162_S01	v7	pandisease	
FAM96A	TH34_1162_S01	v7	pandisease	
COL9A3	TH34_1162_S01	v7	pandisease	
CD68	TH34_1162_S01	v7	pandisease	
LGALS9	TH34_1162_S01	v7	pandisease	
SH3BGRL3	TH34_1162_S01	v7	pandisease	
C1orf162	TH34_1162_S01	v7	pandisease	
SPP1	TH34_1162_S01	v7	pandisease	
MYO9B	TH34_1162_S01	v7	pandisease	
CD163	TH34_1162_S01	v7	pandisease	
CD52	TH34_1162_S01	v7	pandisease	ALEMTUZUMAB,Alemtuzumab,CAMPATH
SAT1	TH34_1162_S01	v7	pandisease	
STAB1	TH34_1162_S01	v7	pandisease	
CREG1	TH34_1162_S01	v7	pandisease	
PLAUR	TH34_1162_S01	v7	pandisease	
CORO1A	TH34_1162_S01	v7	pandisease	
ADPGK	TH34_1162_S01	v7	pandisease	
CORO7	TH34_1162_S01	v7	pandisease	
LRCH4	TH34_1162_S01	v7	pandisease	
ASAH1	TH34_1162_S01	v7	pandisease	
ARAP1	TH34_1162_S01	v7	pandisease	
ATG16L2	TH34_1162_S01	v7	pandisease	
AP1B1	TH34_1162_S01	v7	pandisease	
ODF2L	TH34_1162_S01	v7	pandisease	
MFSD1	TH34_1162_S01	v7	pandisease	
CTSD	TH34_1162_S01	v7	pandisease	
MS4A6A	TH34_1162_S01	v7	pandisease	
LAMTOR4	TH34_1162_S01	v7	pandisease	
MCOLN1	TH34_1162_S01	v7	pandisease	
NAGK	TH34_1162_S01	v7	pandisease	
SAMHD1	TH34_1162_S01	v7	pandisease	
HEXA	TH34_1162_S01	v7	pandisease	
VAMP8	TH34_1162_S01	v7	pandisease	
CFD	TH34_1162_S01	v7	pandisease	
SIGLEC1	TH34_1162_S01	v7	pandisease	
CMTM3	TH34_1162_S01	v7	pandisease	
HLA-DMB	TH34_1162_S01	v7	pandisease	
FUCA1	TH34_1162_S01	v7	pandisease	
HLA-DMA	TH34_1162_S01	v7	pandisease	
RP11-229E13.4	TH34_1163_S01	v7	pandisease	
FP671120.2	TH34_1163_S01	v7	pandisease	
BBS2	TH34_1163_S01	v7	pandisease	
MED4	TH34_1163_S01	v7	pandisease	
KCNE4	TH34_1163_S01	v7	pandisease	
SNORA27	TH34_1163_S01	v7	pandisease	
CSAG1	TH34_1163_S01	v7	pandisease	
SF3B6	TH34_1163_S01	v7	pandisease	
AP001065.15	TH34_1163_S01	v7	pandisease	
FKBP5	TH34_1163_S01	v7	pandisease	
PRG4	TH34_1163_S01	v7	pandisease	
MTIF3	TH34_1163_S01	v7	pandisease	
ZFAS1	TH34_1163_S01	v7	pandisease	
GTSF1	TH34_1163_S01	v7	pandisease	
ZNF595	TH34_1163_S01	v7	pandisease	
EDNRA	TH34_1163_S01	v7	pandisease	ZIBOTENTAN,ZD4054
PGA5	TH34_1163_S01	v7	pandisease	
RP11-138I1.4	TH34_1163_S01	v7	pandisease	
PLIN2	TH34_1163_S01	v7	pandisease	
FRG1	TH34_1163_S01	v7	pandisease	
FP236383.7	TH34_1163_S01	v7	pandisease	
PGA3	TH34_1163_S01	v7	pandisease	
CDC16	TH34_1163_S01	v7	pandisease	
RP11-467L13.4	TH34_1163_S01	v7	pandisease	
SCARA5	TH34_1163_S01	v7	pandisease	
PGA4	TH34_1163_S01	v7	pandisease	
UFM1	TH34_1163_S01	v7	pandisease	
MRPS31	TH34_1163_S01	v7	pandisease	
FP236383.8	TH34_1163_S01	v7	pandisease	
UTP11L	TH34_1163_S01	v7	pandisease	
TSPEAR-AS2	TH34_1163_S01	v7	pandisease	
DNAJB11	TH34_1163_S01	v7	pandisease	
STK24	TH34_1163_S01	v7	pandisease	
SAP18	TH34_1163_S01	v7	pandisease	
TFPI	TH34_1163_S01	v7	pandisease	
TSPEAR-AS1	TH34_1163_S01	v7	pandisease	
FTH1	TH34_1163_S01	v7	pandisease	
RBM39	TH34_1163_S01	v7	pandisease	
LDHA	TH34_1163_S01	v7	pandisease	
DIDO1	TH34_1163_S01	v7	pandisease	
PROCR	TH34_1163_S01	v7	pandisease	
NIFK	TH34_1163_S01	v7	pandisease	
FMO1	TH34_1163_S01	v7	pandisease	
POMP	TH34_1163_S01	v7	pandisease	
RPL41P2	TH34_1163_S01	v7	pandisease	
LONRF1	TH34_1163_S01	v7	pandisease	
RP11-452G18.2	TH34_1163_S01	v7	pandisease	
ESD	TH34_1163_S01	v7	pandisease	
AC079781.5	TH34_1163_S01	v7	pandisease	
UBE2V1	TH34_1163_S01	v7	pandisease	
ADM	TH34_1163_S01	v7	pandisease	
FABP7	TH34_1163_S01	v7	pandisease	
ING1	TH34_1163_S01	v7	pandisease	
MIR210HG	TH34_1163_S01	v7	pandisease	
GTF2F2	TH34_1163_S01	v7	pandisease	
CXCL8	TH34_1163_S01	v7	pandisease	
TAF1D	TH34_1163_S01	v7	pandisease	
HMOX1	TH34_1163_S01	v7	pandisease	SUNITINIB,SORAFENIB
AC005062.2	TH34_1163_S01	v7	pandisease	
CHURC1	TH34_1163_S01	v7	pandisease	
JPX_1	TH34_1163_S01	v7	pandisease	
CUL4A	TH34_1163_S01	v7	pandisease	
SNHG7	TH34_1163_S01	v7	pandisease	
ADH1C	TH34_1163_S01	v7	pandisease	
PDK4	TH34_1163_S01	v7	pandisease	
RPL23AP42	TH34_1163_S01	v7	pandisease	
OSER1	TH34_1163_S01	v7	pandisease	
CARKD	TH34_1163_S01	v7	pandisease	
NEAT1_1	TH34_1238_S01	v7	pandisease	
ADAM23	TH34_1238_S01	v7	pandisease	
TM7SF2	TH34_1238_S01	v7	pandisease	
FCRLA	TH34_1238_S01	v7	pandisease	
AC019118.3	TH34_1238_S01	v7	pandisease	
STIM2	TH34_1238_S01	v7	pandisease	
LDLRAD2	TH34_1238_S01	v7	pandisease	
MYL5	TH34_1238_S01	v7	pandisease	
MCOLN2	TH34_1238_S01	v7	pandisease	
MAPK12	TH34_1238_S01	v7	pandisease	
RP11-345J4.6	TH34_1238_S01	v7	pandisease	
KCNK9	TH34_1238_S01	v7	pandisease	
BBC3	TH34_1238_S01	v7	pandisease	
KLRF2	TH34_1238_S01	v7	pandisease	
GIPR	TH34_1238_S01	v7	pandisease	
HSF4	TH34_1238_S01	v7	pandisease	
SNORD22	TH34_1238_S01	v7	pandisease	
RP11-291B21.2	TH34_1238_S01	v7	pandisease	
P2RY11	TH34_1238_S01	v7	pandisease	
MEIS1	TH34_1238_S01	v7	pandisease	
PAM16	TH34_1238_S01	v7	pandisease	
BNIP3P41	TH34_1238_S01	v7	pandisease	
AC091053.2	TH34_1238_S01	v7	pandisease	
DMPK	TH34_1238_S01	v7	pandisease	
TRMT1	TH34_1238_S01	v7	pandisease	
TBC1D27	TH34_1238_S01	v7	pandisease	
PENK	TH34_1238_S01	v7	pandisease	
GAS6-AS1	TH34_1238_S01	v7	pandisease	
MPEG1	TH34_1238_S01	v7	pandisease	
NAT9	TH34_1238_S01	v7	pandisease	
RP5-1028K7.2	TH34_1238_S01	v7	pandisease	
AL162151.3	TH34_1238_S01	v7	pandisease	
NUDT1	TH34_1238_S01	v7	pandisease	
AL662801.1	TH34_1238_S01	v7	pandisease	
CCDC78	TH34_1238_S01	v7	pandisease	
IGHV3-20	TH34_1238_S01	v7	pandisease	
RPL39P3	TH34_1238_S01	v7	pandisease	
LIMD2	TH34_1238_S01	v7	pandisease	
RAB24	TH34_1238_S01	v7	pandisease	
TNFRSF13B	TH34_1238_S01	v7	pandisease	
TCTEX1D1	TH34_1238_S01	v7	pandisease	
KLRC4-KLRK1	TH34_1238_S01	v7	pandisease	
TCL1B	TH34_1238_S01	v7	pandisease	
ZNF521	TH34_1238_S01	v7	pandisease	
DFNA5	TH34_1238_S01	v7	pandisease	
C11orf98	TH34_1238_S01	v7	pandisease	
AC006449.2	TH34_1238_S01	v7	pandisease	
NOP16	TH34_1238_S01	v7	pandisease	
CDHR3	TH34_1238_S01	v7	pandisease	
IGLV3-25	TH34_1238_S01	v7	pandisease	
RELL2	TH34_1238_S01	v7	pandisease	
MRPS21	TH34_1238_S01	v7	pandisease	
IGLJ3	TH34_1238_S01	v7	pandisease	
HOXA5	TH34_1238_S01	v7	pandisease	
RP5-887A10.1	TH34_1238_S01	v7	pandisease	
RP1-170O19.23	TH34_1238_S01	v7	pandisease	
HSPE1	TH34_1238_S01	v7	pandisease	
SNX22	TH34_1238_S01	v7	pandisease	
HOXA3	TH34_1238_S01	v7	pandisease	
